blind_id,identity_match,within_character_consistency,between_character_separation,style_quality,anatomy_artifact_free,overall,failure_tags,notes
cast_d0117568f9ed,,,,,,,,
cast_6a8ff509c1c1,,,,,,,,
cast_7a237bae8672,,,,,,,,
cast_a91c92c92c62,,,,,,,,
cast_48c43f804e0d,,,,,,,,
cast_4098a922bb60,,,,,,,,
cast_91951ce3fcdf,,,,,,,,
cast_6d309c6a1c87,,,,,,,,
cast_bb18b00c95b6,,,,,,,,
cast_b2cbd4f36cf4,,,,,,,,
cast_f39c5ddfe51e,,,,,,,,
cast_518aed2002db,,,,,,,,
cast_c989c26d6627,,,,,,,,
cast_aa8f11b8ee87,,,,,,,,
cast_ce587292280d,,,,,,,,
cast_b3d7038bac06,,,,,,,,
cast_10127a780c51,,,,,,,,
cast_b503488d5306,,,,,,,,
cast_ebea0bfaf073,,,,,,,,
cast_800f75a6272c,,,,,,,,
cast_353626b0c914,,,,,,,,
cast_78c0b14555e0,,,,,,,,
cast_e467cbfce824,,,,,,,,
cast_aa09967a3506,,,,,,,,
cast_28f1dd7b2c4a,,,,,,,,
cast_d30eaa3e6070,,,,,,,,
cast_a9895c09f20f,,,,,,,,
cast_362a99773993,,,,,,,,
cast_472c1f30cd6b,,,,,,,,
cast_aec57def48e5,,,,,,,,
cast_e8b94d8922ce,,,,,,,,
cast_9b8588609ddf,,,,,,,,
