blind_id,intelligibility,character_match,cross_language_identity,between_character_separation,prosody,artifact_free,overall,audio_duration_sec,cue_fit,failure_tags,notes
vox_b5649d601f09,,,,,,,,,,,
vox_ae6c3e5af03f,,,,,,,,,,,
vox_52af55f53319,,,,,,,,,,,
vox_9373295aa488,,,,,,,,,,,
vox_13399c04d206,,,,,,,,,,,
vox_0b3a62fff486,,,,,,,,,,,
vox_67cf87393d99,,,,,,,,,,,
vox_fd8d0508e077,,,,,,,,,,,
vox_94f82cfeb1e1,,,,,,,,,,,
vox_539e9b43601d,,,,,,,,,,,
vox_6cd531479b73,,,,,,,,,,,
vox_c18649999184,,,,,,,,,,,
